pdbID,start1,end1,start2,end2,mean.length,linker.length,ChainLength,repeat_cover,secondary.structure,CATH.codes,PfamFamily,PfamCL,Pfam2ratio,CE.Symm,CE.Symm_repeat,couple.count,symmetry,total_symmetry,swapping,cluster,foldseek_cluster
3fyf.A,29,88,95,144,55.0,6,149,0.778523489932886,Mainly Beta,2.40.128.410,DUF4251,0,0.0,R,R,167,C2,C2,0,33,3
3pvq.A,0,70,71,140,70.5,0,297,0.474747474747475,Alpha Beta,2.30.30.40,SH3_16,10,0.0,C1,C1,5,C2,C2,0,54,3
4ifa.A,13,72,77,148,66.0,4,298,0.456375838926175,Alpha Beta,3.40.33.10,CAP_assoc_N,0,0.0,C1,C2,61,C2,C2,0,54,3
3tfm.A,77,131,147,205,57.0,15,208,0.620192307692308,Alpha Beta,2.30.29.30,PH,266,0.880659365473637,C1,C1,0,else,else,0,60,3
2lcj.A,1,84,86,172,85.5,1,185,0.92972972972973,Mainly Beta,2.170.16.10,Intein_splicing,363,3.76811594202899,C2,C2,334,C2,C2,1,61,3
2jmm.A,3,67,70,151,73.5,2,156,0.955128205128205,Mainly Beta,2.40.160.20,OmpA_membrane;OMP_b-brl,193,3.03030303030303,C2,R,818,C2,C2,0,61,3
2j1r.A,7,89,93,140,65.5,3,142,0.943661971830986,Mainly Beta,2.60.120.260,F5_F8_type_C,202,12.4760076775432,C2,C2,395,C2,C2,0,61,3
3cbn.A,1,70,71,137,68.5,0,144,0.951388888888889,Mainly Beta,2.60.120.630,DUF371,0,0.0,C2,C2,625,C2,C2,0,61,3
1ohz.A,1,58,61,128,63.0,2,140,0.914285714285714,Mainly Beta,2.60.40.680,Cohesin,203,7.97636632200886,R,C2,194,C2,C2,1,61,3
1f9z.A,1,59,69,125,58.0,9,128,0.9765625,Alpha Beta,3.10.180.10,Glyoxalase;Glyoxalase_4;Glyoxalase_6,104,0.408163265306122,C1,C2,82,C2,C2,0,66,3
2kjz.A,4,62,63,121,59.0,0,122,0.967213114754098,Alpha Beta,3.30.720.120;3.30.720.110,Glyoxalase,104,0.408163265306122,C1,C2,14,C2,C2,0,66,3
4yxb.A,0,51,52,124,62.5,0,161,0.77639751552795,Alpha Beta,-,FliMN_C,0,0.0,C2,C1,142,C2,C2,1,68,3
2gia.A,16,84,86,143,63.5,1,154,0.831168831168831,Mainly Beta,2.30.31.40,MRP,609,0.0,C2,C2,214,C2,C2,0,70,3
3d4r.A,6,84,85,144,69.5,0,158,0.879746835443038,Mainly Beta,2.40.128.400;2.40.50.100,DUF2118,105,0.0,C1,C1,20,C2,C2,0,70,3
2in5.A,27,83,99,187,73.0,15,195,0.825641025641026,Mainly Beta,2.40.360.10,YjbF,0,0.0,C2,C2,0,else,C2,0,70,3
2nvn.A,1,60,61,120,60.0,0,121,0.991735537190083,Mainly Beta,2.30.31.10,DUF1818,609,0.0,C2,C2,103,C2,C2,1,71,3
1wbi.A,1,52,53,119,59.5,0,123,0.967479674796748,Mainly Beta,2.40.128.30,Avidin,0,7.69230769230769,C2,C1,155,C2,C2,1,71,3
2mqb.A,4,71,84,151,68.0,12,152,0.973684210526316,Alpha Beta,-,DUF4888,0,0.0,C2,C2,212,C2,C2,0,77,3
4nwv.A,23,92,109,174,68.0,16,355,0.428169014084507,Alpha Beta,2.60.120.20,Capsid-VNN;Viral_coat,55,0.0,C1,R,63,C2,C2,1,79,3
2j0w.A,291,373,374,447,78.5,0,448,0.350446428571429,Alpha Beta,3.40.1160.10;3.30.70.260,ACT,70,0.53475935828877,C1,C2,257,C2,C2,1,79,3
2zw4.A,173,229,235,291,57.0,5,294,0.404761904761905,Alpha Beta,3.40.630.30;3.10.180.10,-,0,,C1,C2,61,C2,C2,0,84,3
3wnb.A,197,266,272,347,73.0,5,361,0.418282548476454,Mainly Beta,2.40.30.10,-,0,,C1,C1,25,C2,C2,0,91,3
1eag.A,1,64,65,140,70.0,0,339,0.412979351032448,Mainly Beta,2.40.70.10,Asp;TAXi_N,129,0.99866844207723,C2,C1,148,C2,C2,1,91,3
3f8m.A,66,140,141,219,77.0,0,230,0.669565217391304,Alpha Beta,1.10.10.10;3.40.1410.10,UTRA,122,0.0,C2,C2,510,C2,C2,0,94,3
1b9m.A,113,186,187,255,71.5,0,258,0.554263565891473,Alpha Beta,2.40.50.100,TOBE,21,0.0,C1,C2,500,C2,C2,0,94,3
2gag.C,19,99,100,185,83.5,0,190,0.878947368421053,Alpha Beta,3.30.1360.120;3.30.70.1520,SoxG,289,0.0,C2,C2,384,C2,C2,0,94,3
1vly.A,0,99,100,175,88.0,0,323,0.544891640866873,Alpha Beta,3.30.70.1630;3.30.70.1400,GCV_T,289,0.675675675675676,C1,C2,267,C2,C2,0,94,3
2n8f.A,2,38,39,75,37.0,0,76,0.973684210526316,Mainly Beta,-,-,0,,C1,C1,0,else,else,0,11,4
1ag4.A,11,53,54,97,43.5,0,103,0.844660194174757,Mainly Beta,2.60.20.10,Crystall_3,333,0.0,C2,C2,103,C2,C2,0,13,4
1c01.A,1,34,38,74,35.5,3,76,0.973684210526316,Mainly Beta,2.60.20.30,MiAMP1,333,0.0,C2,C2,61,C2,C2,0,32,4
3fqm.A,15,65,71,122,51.5,5,160,0.675,Mainly Beta,2.20.25.210;2.20.25.220,HCV_NS5a_1a;HCV_NS5a_1b,0,0.0,C1,C1,12,C2,C2,0,33,5
1c89.A,1,60,70,130,60.5,9,134,0.970149253731343,Alpha Beta,3.90.1210.10,-,0,,R,R,0,else,else,0,45,5
1csm.A,184,214,215,245,31.0,0,253,0.245059288537549,Mainly Alpha,1.10.590.10,-,0,,C2,C2,156,C2,C2,0,1,6
2qyp.A,0,36,40,72,35.0,3,78,0.935897435897436,Mainly Alpha,1.10.225.10,SapB_1;SapB_2,707,53.1380753138075,C2,C2,218,C2,C2,0,19,6
6tbm.P,13,49,51,87,37.0,1,90,0.833333333333333,Mainly Alpha,-,EnY2,0,0.0,C2,C2,258,C2,C2,0,38,6
1dgj.A,342,555,603,886,249.0,47,906,0.601545253863135,Alpha Beta,3.30.365.10,Ald_Xan_dh_C2,0,0.0,C1,C1,202,C2,C2,0,89,7
1dgs.A,420,495,496,559,70.0,0,581,0.240963855421687,Mainly Alpha,1.10.150.20,HHH_2;HHH_5,198,2.5,C1,C2,69,C2,C2,0,99,8
2jzj.A,1,50,51,101,50.5,0,116,0.870689655172414,Mainly Beta,2.30.60.10,CVNH,0,7.69230769230769,C2,C2,108,C2,C2,1,6,9
1dto.A,23,59,60,139,58.5,0,200,0.585,Alpha Beta,1.10.287.30;2.170.200.10,PPV_E2_N,0,0.0,C1,C1,211,C2,C2,0,42,9
1dzl.A,225,302,304,383,79.0,1,455,0.349450549450549,Alpha Beta,2.60.175.20,Late_protein_L1,55,0.0,C1,C1,0,else,else,0,67,10
1fsi.A,8,81,82,155,74.0,0,179,0.826815642458101,Alpha Beta,3.90.1140.10,CPDase,247,0.0,C2,C2,668,C2,C2,1,68,10
1f47.B,84,113,114,143,30.0,0,144,0.416666666666667,Mainly Alpha,3.30.1400.10,ZipA_C,0,33.3333333333333,C1,C1,85,C2,C2,0,1,11
2lgr.A,88,119,120,151,32.0,0,152,0.421052631578947,Alpha Beta,3.40.220.10,-,0,,C1,C1,0,else,else,0,3,11
1g47.A,0,34,35,61,31.0,0,70,0.885714285714286,Mainly Beta,2.10.110.10,LIM,167,24.5161290322581,C1,C1,1,C2,C2,0,13,12
1gso.A,119,147,148,184,33.0,0,419,0.157517899761337,Alpha Beta,3.30.1490.20,GARS_A,179,0.78740157480315,C1,C2,38,C2,C2,0,21,13
1hr6.A,13,200,224,441,203.0,23,457,0.938730853391685,Alpha Beta,3.30.830.10,Peptidase_M16_C;Peptidase_M16,94,5.66037735849057,C2,C2,1122,C2,C2,0,64,14
1hs7.A,12,43,44,75,32.0,0,97,0.65979381443299,Mainly Alpha,1.20.58.70,-,0,,R,C2,4,C2,C2,0,0,15
6lkz.C,336,366,367,397,31.0,0,482,0.128630705394191,Mainly Alpha,-,-,0,,C2,C2,22,C2,C2,0,5,15
3wnk.A,27,72,73,115,44.5,0,712,0.125,Mainly Beta,2.60.40.10,Glyco_hydro_66,58,0.0,C1,C2,97,C2,C2,1,4,16
2erj.A,1,51,65,117,52.0,13,130,0.9,Mainly Beta,2.10.70.10;2.20.28.230,Sushi,1,60.5072463768116,C2,C2,352,C2,C2,1,6,16
1hzk.A,12,53,57,107,46.5,3,110,0.872727272727273,Mainly Beta,2.60.40.230,Neocarzinostat,159,0.0,C2,C1,190,C2,C2,1,6,16
6f7e.A,4,48,51,94,44.5,2,104,0.875,Mainly Beta,-,CBM_2,203,1.77824267782427,C2,R,34,C2,C2,1,13,16
2n59.A,11,50,56,94,39.5,5,101,0.831683168316832,Mainly Beta,2.60.40.2420,-,0,,C2,C1,278,C2,C2,0,13,16
2yjl.A,5,46,47,88,42.0,0,108,0.777777777777778,Mainly Beta,2.60.40.2990,YscW,0,3.33333333333333,C1,C2,174,C2,C2,1,13,16
5azw.A,1,43,46,93,45.5,2,94,0.98936170212766,Mainly Beta,-,EMP24_GP25L,521,0.555555555555556,C2,C1,18,C2,C2,1,17,16
1b77.A,115,168,179,219,47.5,10,228,0.460526315789474,Alpha Beta,3.70.10.10,gp45-slide_C,60,0.0,C1,C2,114,C2,C2,0,24,16
1i1q.A,4,218,260,509,232.5,41,513,0.98635477582846,Alpha Beta,3.60.120.10,Chorismate_bind;Anth_synt_I_N,0,0.65359477124183,C2,D2,210,C2,C2,1,57,17
5en5.A,1,288,292,576,286.5,3,580,0.993103448275862,Alpha Beta,3.30.70.1430;3.30.70.1320,ACR_tran,322,8.33333333333333,C2,C1,643,C2,C2,0,64,17
2deb.A,91,365,400,619,247.5,34,627,0.843700159489633,Alpha Beta,1.20.1280.180;3.30.559.10;3.30.559.70,Carn_acyltransf,149,4.70588235294118,C1,C1,159,C2,C2,0,89,17
1u8s.A,0,85,86,170,85.5,0,171,1.0,Alpha Beta,3.30.70.260,ACT_6,70,0.0,C1,C1,0,else,else,0,45,18
6lpn.A,221,317,341,419,88.0,23,466,0.427038626609442,Alpha Beta,-,FAD-oxidase_C,277,1.91387559808612,C1,C2,34,C2,C2,0,54,18
3c1m.A,302,381,384,463,80.0,2,466,0.347639484978541,Alpha Beta,3.30.2130.10,ACT;ACT_7,70,0.53475935828877,C1,C2,505,C2,C2,0,54,18
3cuq.C,0,99,100,172,86.5,0,173,1.0,Mainly Alpha,1.10.10.570;1.10.10.10,ESCRT-II,123,0.0,C1,C1,0,else,else,0,62,18
3e10.A,11,78,79,144,67.0,0,166,0.807228915662651,Alpha Beta,3.40.109.10,Nitroreductase;TM1586_NiRdase,529,0.0,C2,C2,278,C2,C2,1,68,18
1mp9.A,1,90,92,181,90.0,1,193,0.937823834196891,Alpha Beta,3.30.310.10,TBP,407,1.97368421052632,C2,C2,361,C2,C2,0,77,18
1s7h.A,0,80,101,184,82.5,20,186,0.994623655913978,Alpha Beta,3.30.70.930,Ykof,360,33.3333333333333,C2,C2,277,C2,C2,0,77,18
1in0.A,0,87,88,161,81.0,0,162,1.0,Alpha Beta,3.30.70.860;3.30.70.990,DUF520,0,0.0,C2,C2,66,C2,C2,0,77,18
2lnj.A,1,63,78,169,77.5,14,170,0.994117647058824,Alpha Beta,3.40.1000.10,PsbP,619,0.0,C1,C1,19,C2,C2,0,77,18
4e6z.A,7,103,112,192,89.0,8,198,0.939393939393939,Alpha Beta,3.40.1350.100,-,0,,C2,C2,4,C2,C2,0,77,18
1g3i.G,1,91,92,161,80.5,0,173,0.930635838150289,Alpha Beta,3.60.20.10,Proteasome,52,0.639658848614073,C2,C2,149,C2,C2,1,80,18
7a2d.A,25,92,103,168,67.0,10,178,0.808988764044944,Alpha Beta,-,BON,0,13.2352941176471,C1,D2,34,C2,C2,0,94,18
2n8l.A,16,95,98,182,82.5,2,191,0.87434554973822,Alpha Beta,3.30.310.210,KH_1,7,20.2115158636898,C1,C2,30,C2,C2,0,94,18
1p6t.A,3,68,71,136,66.0,2,151,0.887417218543046,Alpha Beta,3.30.70.100,HMA,704,15.421686746988,R,R,13,C2,C2,0,94,18
3lkk.A,1,89,92,155,76.5,2,232,0.668103448275862,Alpha Beta,3.40.1160.10,AA_kinase,0,0.478468899521531,C1,C2,184,C2,C2,0,94,18
1b6a.A,38,144,145,213,88.0,0,355,0.495774647887324,Mainly Alpha,3.90.230.10,Peptidase_M24,0,0.717703349282297,C2,C2,16,C2,C2,0,99,18
1itz.A,0,330,331,654,327.5,0,666,0.983483483483483,Alpha Beta,3.40.50.970;3.40.50.920,Transketolase_N;Transket_pyr;Transketolase_C,254,2.97029702970297,C2,C2,213,C2,C2,0,87,19
1ksf.X,160,399,429,699,255.5,29,715,0.755244755244755,Alpha Beta,3.40.50.300;1.10.8.60,AAA_2;AAA_lid_9;AAA;AAA_5;Sigma54_activat;ClpB_D2-small;TniB,23,0.177462289263531,C1,C1,0,else,else,0,89,19
2jps.A,5,36,37,68,32.0,0,105,0.60952380952381,Mainly Alpha,1.10.340.40,Nab2,0,0.0,C2,C2,7,C2,C2,0,0,20
1ixr.A,62,94,95,127,33.0,0,135,0.488888888888889,Mainly Alpha,2.40.50.140;1.10.150.20,HHH_5,198,2.20588235294118,C1,C1,30,C2,C2,0,1,20
1x2i.A,1,31,32,62,31.0,0,68,0.911764705882353,Mainly Alpha,1.10.150.20,HHH_2;HHH_5;HHH,198,2.5,C1,C1,12,C2,C2,0,19,20
1jnr.B,0,35,36,71,36.0,0,149,0.483221476510067,Alpha Beta,3.30.70.20;6.20.260.10,Fer4;Fer4_9;Fer4_7;Fer4_4,344,2.5411596277738,C1,C2,2,C2,C2,0,21,21
1xer.A,32,66,67,101,35.0,0,103,0.679611650485437,Alpha Beta,3.30.70.20,Fer4;Fer4_9;Fer4_10;Fer4_7;Fer4_4,344,2.5411596277738,C1,C2,40,C2,C2,1,26,21
1jw3.A,5,39,40,74,35.0,0,140,0.5,Mainly Alpha,3.55.10.10,Archease,319,0.0,C1,C2,0,else,C2,0,1,22
2uyj.A,44,77,79,107,31.5,1,128,0.5,Alpha Beta,3.30.1330.40,Ribonuc_L-PSP,534,1.40845070422535,C1,C1,0,else,else,0,3,22
1r6l.A,61,100,101,141,40.5,0,236,0.343220338983051,Alpha Beta,3.30.230.70,RNase_PH,329,0.666666666666667,C1,C1,0,else,else,0,3,22
5yz1.A,21,59,60,93,36.5,0,160,0.45625,Mainly Alpha,-,Archease,319,0.0,C1,C2,0,else,C2,0,5,22
1wru.A,97,129,130,162,33.0,0,325,0.203076923076923,Alpha Beta,3.55.50.10,-,0,,C1,C2,42,C2,C2,0,21,22
1iqp.A,228,264,266,304,38.0,1,326,0.236196319018405,Mainly Alpha,1.10.8.60;1.20.272.10,Rep_fac_C,604,0.0,C1,C1,0,else,else,0,27,22
1k0s.A,10,69,78,142,62.5,8,151,0.880794701986755,Mainly Beta,2.30.30.40;2.40.50.180,CheW,0,7.20720720720721,C2,C2,152,C2,C2,0,70,23
6n0a.A,150,211,212,263,57.0,0,278,0.410071942446043,Mainly Beta,2.60.40.3050,DUF5979,287,51.8348623853211,C1,C2,162,C2,C2,0,91,23
1b73.A,1,100,106,208,101.5,5,252,0.825396825396825,Alpha Beta,3.40.50.1860,Asp_Glu_race,399,0.0,C2,C1,86,C2,C2,0,41,24
2o2g.A,26,104,105,215,95.0,0,216,0.87962962962963,Alpha Beta,3.40.50.1820,DLH,28,1.21951219512195,C1,C2,0,else,C2,0,41,24
1zrs.A,24,135,140,275,124.0,4,294,0.857142857142857,Alpha Beta,3.40.50.10740;3.50.30.60,Peptidase_S66;Peptidase_S66C,364,0.0,C1,C1,1,C2,C2,0,42,24
4p00.A,139,234,236,350,105.5,1,729,0.290809327846365,Alpha Beta,3.90.550.10,Glycos_transf_2;Glyco_tranf_2_3;Glyco_transf_21;Glyco_trans_2_3,110,3.06923625981442,C1,C1,0,else,else,0,51,24
1nyt.A,1,113,118,251,123.5,4,271,0.92619926199262,Alpha Beta,3.40.50.10860;3.40.50.720,Shikimate_dh_N;Shikimate_DH,603,1.08108108108108,C1,C2,275,C2,C2,0,52,24
1nmo.A,1,114,136,225,102.0,21,247,0.910931174089069,Alpha Beta,3.40.1390.30,NIF3,0,0.0,C2,C2,14,C2,C2,0,53,24
1vjr.A,11,137,161,259,113.0,23,261,0.954022988505747,Alpha Beta,3.40.50.1000,Hydrolase_6;Hydrolase_like;HAD_2,137,1.49253731343284,C1,C2,163,C2,C2,0,53,24
1ww1.A,1,110,124,246,116.5,13,250,0.984,Alpha Beta,3.60.15.10,Lactamase_B_2;Lactamase_B,381,0.425531914893617,C2,C2,478,C2,C2,0,53,24
1vlu.A,113,221,223,361,124.0,1,395,0.630379746835443,Alpha Beta,3.40.605.10;3.40.309.10,Aldedh,99,4.03337969401947,C1,C1,0,else,else,0,60,24
3kwp.A,16,115,116,192,88.5,0,228,0.776315789473684,Alpha Beta,3.40.1010.10;3.30.950.10,TP_methylase,0,0.476190476190476,C1,C1,0,else,else,0,65,24
4ev1.A,10,126,129,222,105.5,2,226,0.942477876106195,Alpha Beta,-,Tic22,0,5.0,C2,C2,264,C2,C2,0,66,24
4gic.A,109,197,198,322,107.0,0,382,0.56020942408377,Alpha Beta,3.40.50.1980,Histidinol_dh,99,5.55555555555556,C1,C1,0,else,else,0,73,24
3g23.A,23,125,149,256,105.5,23,270,0.866666666666667,Alpha Beta,3.40.50.10740;3.50.30.60,Peptidase_S66;Peptidase_S66C,14,0.0,C1,C1,0,else,else,0,73,24
1a8l.A,3,117,120,225,110.5,2,226,0.986725663716814,Alpha Beta,3.40.30.10,Thioredoxin_3;Thioredoxin;Glutaredoxin,172,0.0,C1,C1,0,else,else,0,75,24
2vlb.A,1,110,111,217,108.5,0,235,0.923404255319149,Alpha Beta,3.40.50.12500,Amdase;Asp_Glu_race,399,0.0,C2,C2,76,C2,C2,1,80,24
3kwl.A,233,360,371,475,116.5,10,498,0.487951807228916,Alpha Beta,1.20.1050.140;3.40.50.11810,-,0,,C1,C2,49,C2,C2,0,84,24
1amu.A,26,144,156,276,120.0,11,510,0.492156862745098,Alpha Beta,3.40.50.980,AMP-binding,378,33.6514223982715,C1,C2,706,C2,C2,0,84,24
1k75.A,105,190,191,317,106.5,0,431,0.494199535962877,Alpha Beta,3.40.50.1980;1.20.5.1300,Histidinol_dh,99,5.55555555555556,C1,C1,2,C2,C2,0,84,24
6lug.A,1,145,147,266,132.5,1,271,0.981549815498155,Alpha Beta,-,Arginase,302,0.909090909090909,C2,C2,413,C2,C2,0,97,24
1wxd.A,1,112,115,243,120.5,2,263,0.923954372623574,Alpha Beta,3.40.50.10860;3.40.50.720,Shikimate_dh_N;Shikimate_DH,63,1.08108108108108,C2,C2,288,C2,C2,1,97,24
1dqn.A,34,91,94,170,67.5,2,230,0.595652173913043,Alpha Beta,3.40.50.2020,Pribosyltran,533,0.0,C1,C2,271,C2,C2,0,46,25
1fbn.A,56,127,128,211,78.0,0,230,0.678260869565217,Alpha Beta,3.40.50.150,Fibrillarin,63,0.0,C1,C2,239,C2,C2,0,46,25
1yac.A,5,99,100,167,81.5,0,204,0.799019607843137,Alpha Beta,3.40.50.850,Isochorismatase,0,0.398406374501992,C1,C1,187,C2,C2,0,46,25
4s12.A,55,126,127,207,76.5,0,295,0.51864406779661,Alpha Beta,3.40.50.10490,SIS,67,3.54609929078014,C1,C1,161,C2,C2,0,46,25
4cu6.A,305,360,361,450,73.0,0,847,0.172373081463991,Mainly Beta,2.60.40.10;3.20.20.80,Glyco_hydro_2,159,0.0,C1,C1,0,else,else,0,50,25
3t7d.A,248,352,353,418,85.5,0,459,0.372549019607843,Alpha Beta,3.40.50.2000,Glyco_transf_20,113,6.83760683760684,C1,C2,212,C2,C2,0,54,25
1d6j.A,14,85,87,171,78.5,1,177,0.892655367231638,Alpha Beta,3.40.50.300,APS_kinase,23,1.11111111111111,C2,C2,260,C2,C2,1,68,25
4bmc.A,0,95,96,182,91.5,0,183,1.0,Alpha Beta,3.40.50.10190,PTCB-BRCT;BRCT;LIG3_BRCT;BRCT_2,459,8.03858520900322,R,R,0,else,else,0,75,25
1kjn.A,1,73,74,151,75.5,0,152,0.993421052631579,Alpha Beta,3.40.50.10160,DUF1890,0,0.0,C2,C2,203,C2,C2,0,77,25
1rcu.A,1,94,96,164,81.5,1,170,0.964705882352941,Alpha Beta,3.40.50.450,LDcluster4;Lysine_decarbox,349,0.0,C2,C2,181,C2,C2,0,77,25
2ejb.A,1,70,74,171,84.0,3,176,0.971590909090909,Alpha Beta,3.40.50.1950,Flavoprotein,0,0.0,C1,C1,180,C2,C2,0,77,25
3mmz.A,11,97,102,157,71.5,4,163,0.901840490797546,Alpha Beta,3.40.50.1000,Hydrolase_3,137,0.390625,C1,C2,233,C2,C2,0,77,25
3n59.A,1,56,63,131,62.5,6,139,0.942446043165468,Alpha Beta,3.40.50.9100,DHquinase_II,0,0.0,C2,C2,171,C2,C2,1,80,25
3id5.B,55,127,128,206,76.0,0,223,0.681614349775785,Alpha Beta,-,Fibrillarin,63,0.0,C1,C2,310,C2,C2,0,94,25
2b2c.A,71,143,144,212,71.0,0,276,0.514492753623188,Alpha Beta,2.30.140.10;3.40.50.150,Spermine_synth;Spermine_synt_N,63,0.735294117647059,C1,C2,198,C2,C2,0,94,25
4m54.A,108,203,206,276,83.5,2,310,0.545161290322581,Alpha Beta,3.30.1780.10;3.40.50.720,OCD_Mu_crystall;Shikimate_DH,63,2.38095238095238,C1,C1,95,C2,C2,0,94,25
4b2o.A,0,80,81,177,89.0,0,264,0.674242424242424,Alpha Beta,3.60.21.10,YmdB;Metallophos,163,0.0,C2,C1,3,C2,C2,0,94,25
1knz.A,21,64,65,108,44.0,0,154,0.571428571428571,Mainly Alpha,6.10.280.20,Rota_NSP3,0,0.0,C1,C1,0,else,else,0,22,26
1m5y.A,140,243,251,353,103.5,7,388,0.551546391752577,Alpha Beta,1.10.4030.10;3.10.50.40,Rotamase;Rotamase_3;Rotamase_2,487,0.865800865800866,C1,C2,0,else,C2,0,41,27
4f3l.B,78,181,196,301,105.0,14,302,0.741721854304636,Alpha Beta,4.10.280.10;3.30.450.20,HLH;PAS;PAS_3,183,0.54127198917456,C1,C1,0,else,else,0,73,27
3ewk.A,1,99,122,226,102.0,22,227,0.995594713656388,Alpha Beta,3.30.450.20;1.20.5.460,PAS_9;PAS;PAS_4;PAS_3,183,4.36507936507936,C1,C1,0,else,else,0,75,27
1m9n.A,191,369,388,589,190.5,18,590,0.676271186440678,Alpha Beta,1.10.287.440;3.40.140.20;3.40.50.1380,AICARFT_IMPCHas,109,4.54545454545455,C1,C1,64,C2,C2,0,42,28
1xr4.A,43,225,250,437,185.5,24,506,0.780632411067194,Alpha Beta,3.40.1080.10,CitF,246,0.0,C1,C2,451,C2,C2,0,42,28
1vr9.A,1,53,59,112,53.5,5,121,0.925619834710744,Alpha Beta,3.90.1280.20;3.10.20.750,CBS,0,25.3968253968254,C2,C2,321,C2,C2,1,15,29
3kxr.A,46,99,108,158,52.5,8,171,0.660818713450292,Alpha Beta,1.20.50.50;3.10.580.10,CBS,0,25.3968253968254,C2,C2,320,C2,C2,1,18,29
1o50.A,6,63,78,135,58.0,14,141,0.921985815602837,Alpha Beta,3.10.580.10,CBS,0,25.3968253968254,C2,C2,400,C2,C2,0,66,29
1on3.A,30,252,273,503,227.0,20,517,0.916827852998066,Alpha Beta,3.90.226.10,Carboxyl_trans;MdcE,127,5.11627906976744,C1,C1,0,else,else,0,45,30
1ddz.A,1,225,254,479,225.5,28,481,0.995841995841996,Alpha Beta,3.40.1050.10,Pro_CA,0,4.65116279069767,C2,C2,3082,C2,C2,1,57,30
3bez.A,1,206,249,447,202.5,42,473,0.945031712473573,Alpha Beta,3.90.226.10;3.40.1750.10,Peptidase_S49;CLP_protease,127,5.12820512820513,C1,C1,0,else,else,1,57,30
